,Estimation Statistics
r**2,0.3769307533637967
adj r**2,0.37183407240971644
f-stat,73.95612100500438
Est Var,4451.767234662082
rootMSE,66.72156498960499
SSE,2176914.177749758
SSR,1316941.745171134
SST,3493855.9229208888
Obs.,494.0
DOF,489.0
