,Time to double,Rule of 70,Computation Solution
1,69.66071689357483,70.0,69.9
2,35.0027887811465,35.0,35.0
3,23.449772250437736,23.333333333333332,23.499999999999993
4,17.672987685129698,17.5,17.699999999999996
5,14.206699082890463,14.0,14.200000000000003
6,11.895661045941875,11.666666666666666,11.9
7,10.244768351058712,10.0,10.210000000000003
8,9.006468342000588,8.75,9.0
9,8.043231726932046,7.777777777777778,8.020000000000003
10,7.272540897341713,7.0,7.250000000000002
